,Submission,Title,Cited
2,3,Hierarchical ConViT with Attention-Based Relational Reasoner for Visual Analogical Reasoning,4
26,27,VASR: Visual Analogies of Situation Recognition,4
516,517,Self-Supervised Continual Graph Learning in Adaptive Riemannian Spaces,4
565,566,A Domain-Knowledge-Inspired Music Embedding Space and a Novel Attention Mechanism for Symbolic Music Modeling,4
118,119,Estimating Reflectance Layer from a Single Image: Integrating Reflectance Guidance and Shadow/Specular Aware Learning,4
1626,1627,Weather2vec: Representation Learning for Causal Inference with Non-local Confounding in Air Pollution and Climate Studies,4
1757,1758,Learning to See the Physical World,3
1069,1070,Training Meta-Surrogate Model for Transferable Adversarial Attack,3
774,775,Estimating Treatment Effects from Irregular Time Series Observations with Hidden Confounders,3
65,66,One Is All: Bridging the Gap between Neural Radiance Fields Architectures with Progressive Volume Distillation,3
1415,1416,Converge to the Truth: Factual Error Correction via Iterative Constrained Editing,3
783,784,Posterior Coreset Construction with Kernelized Stein Discrepancy for Model-Based Reinforcement Learning,3
373,374,Cyclically Disentangled Feature Translation for Face Anti-spoofing,3
1064,1065,Experimental Observations of the Topology of Convolutional Neural Network Activations,3
61,62,Domain-General Crowd Counting in Unseen Scenarios,3
1366,1367,A Simple Unified Approach to Testing High-Dimensional Conditional Independences for Categorical and Ordinal Data,3
882,883,Self-Supervised Learning for Anomalous Channel Detection in EEG Graphs: Application to Seizure Analysis,3
1061,1062,Latent Autoregressive Source Separation,3
326,327,Boosting Semi-Supervised Semantic Segmentation with Probabilistic Representations,3
269,270,Fair Generative Models via Transfer Learning,3
318,319,Synthetic Data Can Also Teach: Synthesizing Effective Data for Unsupervised Visual Representation Learning,3
1055,1056,Evidential Conditional Neural Processes,3
78,79,ShadowFormer: Global Context Helps Shadow Removal,3
308,309,Towards Good Practices for Missing Modality Robust Action Recognition,3
282,283,Defending Black-Box Skeleton-Based Human Activity Classifiers,3
84,85,Generating Transferable 3D Adversarial Point Cloud via Random Perturbation Factorization,3
1813,1814,Learning Affects Trust: Design Recommendations and Concepts for Teaching Children - and Nearly Anyone - about Conversational Agents,3
1346,1347,Planning for Learning Object Properties,3
293,294,Fine-Grained Retrieval Prompt Tuning,3
1348,1349,Towards Automated Modeling Assistance: An Efficient Approach for Repairing Flawed Planning Domains,3
290,291,Controllable Image Captioning via Prompting,3
1807,1808,Shared Tasks as Tutorials: A Methodical Approach,3
698,699,Complexity of Safety and coSafety Fragments of Linear Temporal Logic,3
385,386,Mind the Gap: Polishing Pseudo Labels for Accurate Semi-supervised Object Detection,3
1621,1622,Counterfactual Fairness Is Basically Demographic Parity,3
488,489,Let Graph Be the Go Board: Gradient-Free Node Injection Attack for Graph Neural Networks via Reinforcement Learning,3
1638,1639,Censored Fairness through Awareness,3
1520,1521,Which Shortcut Solution Do Question Answering Models Prefer to Learn?,3
640,641,Proportional Decisions in Perpetual Voting,3
517,518,Self-Organization Preserved Graph Structure Learning with Principle of Relevant Information,3
521,522,Cross-Domain Graph Anomaly Detection via Anomaly-Aware Contrastive Alignment,3
635,636,How to Cut a Discrete Cake Fairly,3
19,20,Rethinking Interpretation: Input-Agnostic Saliency Mapping of Deep Visual Classifiers,3
1998,1999,NL2LTL - a Python Package for Converting Natural Language (NL) Instructions to Linear Temporal Logic (LTL) Formulas,3
1619,1620,FakeSV: A Multimodal Benchmark with Rich Social Context for Fake News Detection on Short Video Platforms,3
540,541,Learning to Count Isomorphisms with Graph Neural Networks,3
550,551,ADMoE: Anomaly Detection with Mixture-of-Experts from Noisy Labels,3
1603,1604,Equivariant Message Passing Neural Network for Crystal Material Discovery,3
