,Submission,Title,Cited
1191,5362,ParC-Net: Position Aware Circular Convolution with Merits from ConvNets and Transformer,16
158,16,Generative Domain Adaptation for Face Anti-Spoofing,16
1096,4963,EgoBody: Human Body Shape and Motion of Interacting People from Head-Mounted Devices,16
562,2237,Rethinking Data Augmentation for Robust Visual Question Answering,16
1541,7230,View Vertically: A Hierarchical Network for Trajectory Prediction via Fourier Spectrums,16
17,843,KING: Generating Safety-Critical Driving Scenarios for Robust Imitation via Kinematics Gradients,16
356,1182,Box-supervised Instance Segmentation with Level Set Evolution,16
1028,4668,TIDEE: Tidying Up Novel Rooms using Visuo-Semantic Commonsense Priors,16
849,3864,ReCoNet: Recurrent Correction Network for Fast and Efficient Multi-modality Image Fusion,16
854,3904,CANF-VC: Conditional Augmented Normalizing Flows for Video Compression,15
1579,7539,PRIME: A Few Primitives Can Boost Robustness to Common Corruptions,15
831,3747,Learning Implicit Templates for Point-Based Clothed Human Modeling,15
985,4429,"UniNet: Unified Architecture Search with Convolution, Transformer, and MLP",15
675,2871,LocalBins: Improving Depth Estimation by Learning Local Distributions,15
668,2840,CP2: Copy-Paste Contrastive Pretraining for Semantic Segmentation,15
1302,5940,SPSN: Superpixel Prototype Sampling Network for RGB-D Salient Object Detection,15
1285,5829,3D Siamese Transformer Network for Single Object Tracking on Point Clouds,15
1031,4675,Learning Implicit Feature Alignment Function for Semantic Segmentation,15
543,2146,Temporally Consistent Semantic Video Editing,15
1256,5648,MeshLoc: Mesh-Based Visual Localization,15
399,1395,Towards Efficient Adversarial Training on Vision Transformers,15
455,1676,Hierarchical Feature Alignment Network for Unsupervised Video Object Segmentation,15
0,59,Contrastive Deep Supervision,15
70,3311,AutoMix: Unveiling the Power of Mixup,15
131,6143,Neural Radiance Transfer Fields for Relightable Novel-view Synthesis with Global Illumination,15
28,1276,Physically-Based Editing of Indoor Scene Lighting from a Single Image,15
135,6193,Unsupervised Segmentation in Real-World Images via Spelke Object Inference,14
1599,7710,Attention Diversification for Domain Generalization,14
1299,5923,What Matters for 3D Scene Flow Network,14
1051,4762,AdaBin: Improving Binary Neural Networks with Adaptive Binary Sets,14
1325,6056,Responsive Listening Head Generation: A Benchmark Dataset and Baseline,14
1016,4596,Cross-Modal 3D Shape Generation and Manipulation,14
355,1181,Emotion Recognition for Multiple Context Awareness,14
964,4359,A Fast Knowledge Distillation Framework for Visual Recognition,14
1081,4918,Learned Vertex Descent: A New Direction for 3D Human Model Fitting,14
659,2787,Dynamic 3D Scene Analysis by Point Cloud Accumulation,14
682,2901,Improved Masked Image Generation with Token-Critic,14
1167,5251,FS-COCO: Towards Understanding of Freehand Sketches of Common Objects in Context,14
302,930,LaMAR: Benchmarking Localization and Mapping for Augmented Reality,14
548,2162,GIMO: Gaze-Informed Human Motion Prediction in Context,14
379,1317,OSFormer: One-Stage Camouflaged Instance Segmentation with Transformers,14
1461,6727,Implicit Neural Representations for Variable Length Human Motion Generation,13
741,3298,Uncertainty Inspired Underwater Image Enhancement,13
542,2145,LaTeRF: Label and Text Driven Object Radiance Fields,13
192,247,StyleSwap: Style-Based Generator Empowers Robust Face Swapping,13
145,7215,Bi-PointFlowNet: Bidirectional Learning for Point Cloud Based Scene Flow Estimation,13
320,1010,Zero-Shot Temporal Action Detection via Vision-Language Prompting,13
190,205,Contrast-Phys: Unsupervised Video-based Remote Physiological Measurement via Spatiotemporal Contrast,13
1025,4656,Bottom Up Top Down Detection Transformers for Language Grounding in Images and Point Clouds,13
1056,4802,Neural Video Compression using GANs for Detail Synthesis and Propagation,13
1045,4734,Frequency and Spatial Dual Guidance for Image Dehazing,13
205,303,DecoupleNet: Decoupled Network for Domain Adaptive Semantic Segmentation,13
841,3798,DEVIANT: Depth EquiVarIAnt NeTwork for Monocular 3D Object Detection,13
979,4412,Sliced Recursive Transformer,13
1246,5585,Robust Visual Tracking by Segmentation,13
1086,4933,Tracking Every Thing in the Wild,13
817,3672,Unified Fully and Timestamp Supervised Temporal Action Segmentation via Sequence to Sequence Translation,13
16,735,ECLIPSE: Efficient Long-range Video Retrieval using Sight and Sound,13
1205,5410,Switchable Online Knowledge Distillation,13
376,1312,Cross Attention Based Style Distribution for Controllable Person Image Synthesis,13
810,3655,Semi-supervised 3D Object Detection with Proficient Teachers,13
1273,5754,SAGA: Stochastic Whole-Body Grasping With Contact,13
909,4152,Image2Point: 3D Point-Cloud Understanding with 2D Image Pretrained Models,13
1279,5775,Single Frame Atmospheric Turbulence Mitigation: A Benchmark Study and A New Physics-Inspired Transformer Model,13
858,3932,FedX: Unsupervised Federated Learning with Cross Knowledge Distillation,12
890,4059,UniMiSS: Universal Medical Self-Supervised Learning via Breaking Dimensionality Barrier,12
101,4878,Cross-Modality Knowledge Distillation Network for Monocular 3D Object Detection,12
942,4288,Monitored Distillation for Positive Congruent Depth Completion,12
396,1380,Accelerating Score-based Generative Models with Preconditioned Diffusion Sampling,12
160,34,Relighting4D: Neural Relightable Human from Videos,12
1402,6451,Video Anomaly Detection by Solving Decoupled Spatio-Temporal Jigsaw Puzzles,12
404,1415,NeILF: Neural Incident Light Field for Physically-based Material Estimation,12
845,3827,MixSKD: Self-Knowledge Distillation from Mixup for Image Recognition,12
844,3821,Multi-Granularity Prediction for Scene Text Recognition,12
34,1448,Multimodal Object Detection via Probabilistic Ensembling,12
1072,4883,DANBO: Disentangled Articulated Neural Body Representations via Graph Neural Networks,12
930,4261,Learning Degradation Representations for Image Deblurring,12
339,1103,Skeleton-free Pose Transfer for Stylized 3D Characters,12
466,1730,AdaAfford: Learning to Adapt Manipulation Affordance for 3D Articulated Objects via Few-shot Interactions,12
507,1940,Online Continual Learning with Contrastive Vision Transformer,12
1292,5905,ClearPose: Large-scale Transparent Object Dataset and Benchmark,12
332,1060,3D-FM GAN: Towards 3D-Controllable Face Manipulation,12
280,798,Learning with Recoverable Forgetting,12
899,4115,DFNet: Enhance Absolute Pose Regression with Direct Feature Matching,12
674,2864,LGV: Boosting Adversarial Example Transferability from Large Geometric Vicinity,12
624,2601,Max Pooling with Vision Transformers reconciles class and shape in weakly supervised semantic segmentation,12
442,1580,Patch Similarity Aware Data-Free Quantization for Vision Transformers,12
1522,7122,Diverse Generation from a Single Video Made Possible,12
620,2586,Autoregressive 3D Shape Generation via Canonical Mapping,12
359,1202,MetaGait: Learning to Learn an Omni Sample Adaptive Representation for Gait Recognition,11
1590,7626,Understanding Collapse in Non-Contrastive Siamese Representation Learning,11
638,2663,Hierarchically Self-Supervised Transformer for Human Skeleton Representation Learning,11
1633,8029,PANDORA: Polarization-Aided Neural Decomposition Of Radiance,11
998,4496,RA-Depth: Resolution Adaptive Self-Supervised Monocular Depth Estimation,11
616,2576,Reliable Visual Question Answering: Abstain Rather Than Answer Incorrectly,11
629,2621,3D Instances as 1D Kernels,11
866,3984,Novel Class Discovery without Forgetting,11
614,2573,Texturify: Generating Textures on 3D Shape Surfaces,11
311,977,Proposal-Free Temporal Action Detection via Global Segmentation Mask Learning,11
566,2257,Local Color Distributions Prior for Image Enhancement,11
1506,7039,Neural Correspondence Field for Object Pose Estimation,11
800,3598,Mixed-Precision Neural Network Quantization via Learned Layer-wise Importance,11
437,1561,Self-Supervised Sparse Representation for Video Anomaly Detection,11
316,999,Locality Guidance for Improving Vision Transformers on Tiny Datasets,11
1023,4636,Learning Quality-aware Dynamic Memory for Video Object Segmentation,11
59,2753,Balancing Stability and Plasticity through Advanced Null Space in Continual Learning,11
1036,4688,FairGRAPE: Fairness-aware GRAdient Pruning mEthod for Face Attribute Classification,11
80,4028,Decoupled Adversarial Contrastive Learning for Self-supervised Adversarial Robustness,11
727,3218,"Capturing, Reconstructing, and Simulating: the UrbanScene3D Dataset",11
56,2688,Toward Understanding WordArt: Corner-Guided Transformer for Scene Text Recognition,11
42,1742,A Level Set Theory for Neural Implicit Evolution under Explicit Flows,11
903,4123,Discrete-Constrained Regression for Local Counting Models,11
502,1886,My View is the Best View: Procedure Learning from Egocentric Videos,11
340,1105,Differentiable Raycasting for Self-supervised Occupancy Forecasting,11
1237,5555,Learning Algebraic Representation for Systematic Generalization in Abstract Reasoning,11
1605,7746,FairStyle: Debiasing StyleGAN2 with Style Channel Manipulations,10
1311,5993,RepMix: Representation Mixing for Robust Attribution of Synthesized Images,10
1232,5542,Point Scene Understanding via Disentangled Instance Mesh Reconstruction,10
1604,7741,Parameterized Temperature Scaling for Boosting the Expressive Power in Post-Hoc Uncertainty Calibration,10
572,2293,Meta Spatio-Temporal Debiasing for Video Scene Graph Generation,10
1532,7175,ActiveNeRF: Learning where to See with Uncertainty Estimation,10
1001,4525,The One Where They Reconstructed 3D Humans and Environments in TV Shows,10
1253,5619,Source-free Video Domain Adaptation by Learning Temporal Consistency for Action Recognition,10
706,3125,Spike Transformer: Monocular Depth Estimation for Spiking Camera,10
671,2861,A Unified Framework for Domain Adaptive Pose Estimation,10
948,4304,Learning Visual Styles from Audio-Visual Associations,10
1118,5036,3D Clothed Human Reconstruction in the Wild,10
1417,6516,Neural Light Field Estimation for Street Scenes with Differentiable Virtual Object Insertion,10
1414,6505,Injecting 3D Perception of Controllable NeRF-GAN into StyleGAN for Editable Portrait Image Synthesis,10
1404,6455,DiffuseMorph: Unsupervised Deformable Image Registration Using Diffusion Model,10
1460,6722,DoodleFormer: Creative Sketch Drawing with Transformers,10
43,1791,Improving Robustness by Enhancing Weak Subnets,10
1384,6325,Realistic Blur Synthesis for Learning Image Deblurring,10
46,1958,Language Matters: A Weakly Supervised Vision-Language Pre-training Approach for Scene Text Detection and Spotting,10
1360,6216,Compositional Human-Scene Interaction Synthesis with Semantic Control,10
1358,6212,Is Geometry Enough for Matching in Visual Localization?,10
169,88,Reducing Information Loss for Spiking Neural Networks,10
298,912,Concurrent Subsidiary Supervision for Unsupervised Source-Free Domain Adaptation,10
300,919,Category-Level 6D Object Pose and Size Estimation using Self-Supervised Deep Prior Deformation Networks,10
558,2221,Single Stage Virtual Try-on via Deformable Attention Flows,10
1138,5118,Compound Prototype Matching for Few-shot Action Recognition,10
1140,5122,Completely Self-Supervised Crowd Counting via Distribution Matching,10
1582,7543,Generating Natural Images with Direct Patch Distributions Matching,10
83,4350,LESS: Label-Efficient Semantic Segmentation for LiDAR Point Clouds,10
