,Submission,Title,Cited
2362,3470,Score-Based Diffusion meets Annealed Importance Sampling,17
1661,3726,High-dimensional limit theorems for SGD: Effective dynamics and critical scaling,16
2291,1426,Effective Backdoor Defense by Exploiting Sensitivity of Poisoned Samples,16
983,9794,Vision Transformers provably learn spatial structure,16
2047,8562,Computationally Efficient Horizon-Free Reinforcement Learning for Linear Mixture MDPs,16
625,5835,CoNT: Contrastive Neural Text Generation,16
2394,6935,Are All Losses Created Equal: A Neural Collapse Perspective,16
1140,7309,Improving Self-Supervised Learning by Characterizing Idealized Representations,16
67,2752,Outlier Suppression: Pushing the Limit of Low-bit Transformer Language Models,16
135,4160,Hierarchical Graph Transformer with Adaptive Node Sampling,16
2710,6984,Learning to Sample and Aggregate: Few-shot Reasoning over Temporal Knowledge Graphs,16
2637,2477,Is a Modular Architecture Enough?,16
2065,5431,Wasserstein Iterative Networks for Barycenter Estimation,16
754,5206,"Convolutional Neural Networks on Graphs with Chebyshev Approximation, Revisited",16
1915,1783,Supported Policy Optimization for Offline Reinforcement Learning,16
1876,1685,CATER: Intellectual Property Protection on Text Generation APIs via Conditional Watermarks,16
1474,5524,Exploring evolution-aware & -free protein language models as protein function predictors,16
1932,4023,IM-Loss: Information Maximization Loss for Spiking Neural Networks,16
148,7088,Learning single-index models with shallow neural networks,16
2051,11335,FP8 Quantization: The Power of the Exponent,16
36,11855,On Computing Probabilistic Explanations for Decision Trees,16
114,4214,Wavelet Score-Based Generative Modeling,16
703,8036,Adam Can Converge Without Any Modification On Update Rules,15
1095,1251,HUMANISE: Language-conditioned Human Motion Generation in 3D Scenes,15
173,2175,BiT: Robustly Binarized Multi-distilled Transformer,15
685,8329,Masked Autoencoding for Scalable and Generalizable Decision Making,15
2750,1588,LASSIE: Learning Articulated Shapes from Sparse Image Ensemble via 3D Part Discovery,15
826,7541,"If Influence Functions are the Answer, Then What is the Question?",15
331,8492,No Free Lunch from Deep Learning in Neuroscience: A Case Study through Models of the Entorhinal-Hippocampal Circuit,15
513,4631,Privacy of Noisy Stochastic Gradient Descent: More Iterations without More Privacy Loss,15
1773,1737,Your Transformer May Not be as Powerful as You Expect,15
2503,7066,Differentially Private Linear Sketches: Efficient Implementations and Applications,15
112,2738,Rethinking Lipschitz Neural Networks and Certified Robustness: A Boolean Function Perspective,15
2544,6206,Learning Predictions for Algorithms with Predictions,15
155,1656,Sequencer: Deep LSTM for Image Classification,15
2415,2241,Neural Surface Reconstruction of Dynamic Scenes with Monocular RGB-D Camera,15
1006,10291,Learning on Arbitrary Graph Topologies via Predictive Coding,14
1349,8282,Deep Surrogate Assisted Generation of Environments,14
1756,299,Divide and Contrast: Source-free Domain Adaptation via Adaptive Contrastive Learning,14
581,2766,Gold-standard solutions to the Schrödinger equation using deep learning: How much physics do we need?,14
2577,8986,Asynchronous SGD Beats Minibatch SGD Under Arbitrary Delays,14
2330,7637,A General Framework for Auditing Differentially Private Machine Learning,14
2622,4592,Reproducibility in Optimization: Theoretical Framework and Limits,14
1354,4088,On the Identifiability of Nonlinear ICA: Sparsity and Beyond,14
2181,9890,Function Classes for Identifiable Nonlinear Independent Component Analysis,14
1896,4473,TTOpt: A Maximum Volume Quantized Tensor Train-based Optimization and its Application to Reinforcement Learning,14
1485,10354,Learning Dynamical Systems via Koopman Operator Regression in Reproducing Kernel Hilbert Spaces,14
1098,8193,A simple but strong baseline for online continual learning: Repeated Augmented Rehearsal,14
1144,328,Learning Invariant Graph Representations for Out-of-Distribution Generalization,14
1124,3885,HierSpeech: Bridging the Gap between Text and Speech by Hierarchical Variational Inference using Self-supervised Representations for Speech Synthesis,14
2543,11508,NOMAD: Nonlinear Manifold Decoders for Operator Learning,14
591,2149,CAGroup3D: Class-Aware Grouping for 3D Object Detection on Point Clouds,14
2510,7050,Probable Domain Generalization via Quantile Risk Minimization,14
72,9014,Last-Iterate Convergence of Optimistic Gradient Method for Monotone Variational Inequalities,14
1273,6852,Nearly Optimal Algorithms for Linear Contextual Bandits with Adversarial Corruptions,14
935,2048,Temporal Effective Batch Normalization in Spiking Neural Networks,14
1198,7821,RORL: Robust Offline Reinforcement Learning via Conservative Smoothing,14
1454,6205,GLIF: A Unified Gated Leaky Integrate-and-Fire Neuron for Spiking Neural Networks,14
1288,11500,Pre-Train Your Loss: Easy Bayesian Transfer Learning with Informative Priors,14
2252,7195,Meta-Learning Dynamics Forecasting Using Task Inference,14
181,494,PolarMix: A General Data Augmentation Technique for LiDAR Point Clouds,14
708,5090,What are the best Systems? New Perspectives on NLP Benchmarking,14
2690,544,Towards Efficient 3D Object Detection with Knowledge Distillation,14
736,5916,Causal Discovery in Heterogeneous Environments Under the Sparse Mechanism Shift Hypothesis,14
241,4399,SKFlow: Learning Optical Flow with Super Kernels,14
215,2572,GhostNetV2: Enhance Cheap Operation with Long-Range Attention,14
1602,4949,Learn to Match with No Regret: Reinforcement Learning in Markov Matching Markets,14
1975,7244,Policy Optimization for Markov Games: Unified Framework and Faster Convergence,14
596,6820,projUNN: efficient method for training deep networks with unitary matrices,14
964,10162,"Variance Reduced ProxSkip: Algorithm, Theory and Application to Federated Learning",14
1190,1336,DreamShard: Generalizable Embedding Table Placement for Recommender Systems,14
1674,5232,EF-BV: A Unified Theory of Error Feedback and Variance Reduction Mechanisms for Biased and Unbiased Compression in Distributed Optimization,14
1735,3894,Revisiting Sliced Wasserstein on Images: From Vectorization to Convolution,13
1726,4867,Domain Adaptation under Open Set Label Shift,13
2559,12267,Resolving the data ambiguity for periodic crystals,13
474,2977,Periodic Graph Transformers for Crystal Material Property Prediction,13
748,3322,Boosting the Transferability of Adversarial Attacks with Reverse Adversarial Perturbation,13
14,1138,Counterfactual harm,13
2654,3896,Amortized Projection Optimization for Sliced Wasserstein Generative Models,13
1833,8212,Few-shot Relational Reasoning via Connection Subgraph Pretraining,13
1729,6508,Neural Stochastic PDEs: Resolution-Invariant Learning of Continuous Spatiotemporal Dynamics,13
2590,11826,CARD: Classification and Regression Diffusion Models,13
441,12112,OOD Link Prediction Generalization Capabilities of Message-Passing GNNs in Larger Test Graphs,13
907,2984,Neural Basis Models for Interpretability,13
2818,7780,Instance-Dependent Near-Optimal Policy Identification in Linear MDPs via Online Experiment Design,13
1741,2604,Intermediate Prototype Mining Transformer for Few-Shot Semantic Segmentation,13
667,2922,Deep Generative Model for Periodic Graphs,13
556,6034,Streaming Radiance Fields for 3D Video Synthesis,13
82,11129,Are Defenses for Graph Neural Networks Robust?,13
617,6644,FedSR: A Simple and Effective Domain Generalization Method for Federated Learning,13
1789,9282,Provably expressive temporal graph networks,13
1844,4330,AniFaceGAN: Animatable 3D-Aware Face Image Generation for Video Avatars,13
967,7155,Riemannian Diffusion Models,13
1060,9152,Neural-Symbolic Entangled Framework for Complex Query Answering,13
150,12157,Non-Convex Bilevel Games with Critical Point Selection Maps,13
48,7437,Generalizing Goal-Conditioned Reinforcement Learning with Variational Causal Reasoning,13
1891,1854,Learning Consistency-Aware Unsigned Distance Functions Progressively from Raw Point Clouds,13
803,4427,Augmentations in Hypergraph Contrastive Learning: Fabricated and Generative,13
535,1800,Optimal Algorithms for Decentralized Stochastic Variational Inequalities,13
340,10235,A gradient sampling method with complexity guarantees for Lipschitz functions in high and low dimensions,13
525,4480,SALSA: Attacking Lattice Cryptography with Transformers,13
2537,12396,Spherical Channels for Modeling Atomic Interactions,13
926,1334,Does Self-supervised Learning Really Improve Reinforcement Learning from Pixels?,13
1389,4141,Revisiting Realistic Test-Time Training: Sequential Inference and Adaptation by Anchored Clustering,13
1214,11137,"On Convergence of FedProx: Local Dissimilarity Invariant Bounds, Non-smoothness and Beyond",12
2461,11623,Diffusion Visual Counterfactual Explanations,12
445,6411,The Phenomenon of Policy Churn,12
446,8259,A Unified Analysis of Federated Learning with Arbitrary Client Participation,12
1705,12999,TPU-KNN: K Nearest Neighbor Search at Peak FLOP/s,12
462,1366,Learning Equivariant Segmentation with Instance-Unique Querying,12
471,7883,Neural Conservation Laws: A Divergence-Free Perspective,12
1162,10835,Anytime-Valid Inference For Multinomial Count Data,12
1333,5203,Gradient Methods Provably Converge to Non-Robust Networks,12
610,8745,Private Set Generation with Discriminative Information,12
963,10983,Learning to Reconstruct Missing Data from Spatiotemporal Graphs with Sparse Observations,12
561,8172,PAC-Bayes Compression Bounds So Tight That They Can Explain Generalization,12
1007,4570,No-regret learning in games with noisy feedback: Faster rates and adaptivity via learning rate separation,12
1544,4955,Provable Benefit of Multitask Representation Learning in Reinforcement Learning,12
1173,7704,Task-Agnostic Graph Explanations,12
2356,12774,LieGG: Studying Learned Lie Group Generators,12
1270,9546,The First Optimal Acceleration of High-Order Methods in Smooth Convex Optimization,12
692,7727,Latent Hierarchical Causal Structure Discovery with Rank Constraints,12
1476,11419,DOPE: Doubly Optimistic and Pessimistic Exploration for Safe Reinforcement Learning,12
2416,7324,Understanding Hyperdimensional Computing for Parallel Single-Pass Learning,12
1246,6699,Near-Optimal Sample Complexity Bounds for Constrained MDPs,12
1414,1597,Positively Weighted Kernel Quadrature via Subsampling,12
848,7225,Dynamic Tensor Product Regression,12
