Submission,Title,Cited
2048,TubeDETR: Spatio-Temporal Video Grounding With Transformers,38
1318,Towards Robust and Reproducible Active Learning Using Neural Networks,38
1959,Coarse-To-Fine Q-Attention: Efficient Learning for Visual Robotic Manipulation via Discretisation,38
721,SurfEmb: Dense and Continuous Correspondence Distributions for Object Pose Estimation With Learnt Surface Embeddings,38
352,RigNeRF: Fully Controllable Neural 3D Portraits,38
45,DINE: Domain Adaptation From Single and Multiple Black-Box Predictors,38
1699,ReSTR: Convolution-Free Referring Image Segmentation Using Transformers,38
1882,Joint Distribution Matters: Deep Brownian Distance Covariance for Few-Shot Classification,38
756,EMOCA: Emotion Driven Monocular Face Capture and Animation,38
1266,CMT-DeepLab: Clustering Mask Transformers for Panoptic Segmentation,38
1320,Not All Tokens Are Equal: Human-Centric Visual Analysis via Token Clustering Transformer,37
1460,Towards Practical Certifiable Patch Defense With Vision Transformer,37
744,Causality Inspired Representation Learning for Domain Generalization,37
606,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions With Superior OOD Generalization,37
1964,L2G: A Simple Local-to-Global Knowledge Transfer Framework for Weakly Supervised Semantic Segmentation,37
926,WebQA: Multihop and Multimodal QA,37
21,ZebraPose: Coarse To Fine Surface Encoding for 6DoF Object Pose Estimation,37
854,Bailando: 3D Dance Generation by Actor-Critic GPT With Choreographic Memory,37
1110,Regional Semantic Contrast and Aggregation for Weakly Supervised Semantic Segmentation,37
10,Deep Hierarchical Semantic Segmentation,37
737,FocalClick: Towards Practical Interactive Image Segmentation,36
1663,Interacting Attention Graph for Single Image Two-Hand Reconstruction,36
1463,"Label, Verify, Correct: A Simple Few Shot Object Detection Method",36
1277,M2I: From Factored Marginal Trajectory Prediction to Interactive Prediction,36
1899,Cross-Domain Adaptive Teacher for Object Detection,36
1065,Deformable ProtoPNet: An Interpretable Image Classifier Using Deformable Prototypes,36
384,AEGNN: Asynchronous Event-Based Graph Neural Networks,36
1319,Retrieval Augmented Classification for Long-Tail Visual Recognition,36
1755,Generative Cooperative Learning for Unsupervised Video Anomaly Detection,36
1893,AutoRF: Learning 3D Object Radiance Fields From Single View Observations,36
1111,Class Re-Activation Maps for Weakly-Supervised Semantic Segmentation,36
989,Certified Patch Robustness via Smoothed Vision Transformers,36
190,IRON: Inverse Rendering by Optimizing Neural SDFs and Materials From Photometric Images,36
219,CoNeRF: Controllable Neural Radiance Fields,36
750,Coupling Vision and Proprioception for Navigation of Legged Robots,36
1969,Keypoint Transformer: Solving Joint Identification in Challenging Hands and Object Interactions for Accurate 3D Pose Estimation,35
1572,Local Texture Estimator for Implicit Representation Function,35
1621,Learning Multiple Adverse Weather Removal via Two-Stage Knowledge Learning and Multi-Contrastive Regularization: Toward a Unified Model,35
809,GAN-Supervised Dense Visual Alignment,35
91,Sub-Word Level Lip Reading With Visual Attention,35
1289,Ensembling Off-the-Shelf Models for GAN Training,35
1510,PTTR: Relational 3D Point Cloud Object Tracking With Transformer,35
1159,Boosting Crowd Counting via Multifaceted Attention,35
1036,Adversarial Texture for Fooling Person Detectors in the Physical World,34
